Type,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Latest,Stock,Max,Diff%
Profit,4.0,4.0,7.0,14.0,59.0,89.0,106.0,119.0,TIPSINDLTD.NS,119.0,0.0
Sales,72225.0,91866.0,92048.0,84447.0,88021.0,132732.0,147308.0,142419.0,VEDL.NS,147308.0,3.32
Profit,13652.0,19569.0,13560.0,-8259.0,17213.0,32964.0,20276.0,17102.0,VEDL.NS,32964.0,48.12
Sales,10627.0,12529.0,19811.0,19258.0,12611.0,12528.0,14800.0,15962.0,YESBANK.NS,19811.0,19.43
Profit,5053.0,6205.0,2349.0,-20838.0,-4762.0,1434.0,981.0,1025.0,YESBANK.NS,6205.0,83.48
Sales,2457.0,2842.0,2984.0,4400.0,6448.0,10697.0,12192.0,12608.0,DIXON.NS,12608.0,0.0
Profit,66.0,88.0,94.0,157.0,217.0,255.0,345.0,373.0,DIXON.NS,373.0,0.0
Sales,109312.0,119683.0,135220.0,145452.0,135979.0,156521.0,183341.0,195370.0,LT.NS,195370.0,0.0
Profit,8887.0,11639.0,14305.0,14086.0,16918.0,14495.0,17109.0,18513.0,LT.NS,18513.0,0.0
Sales,30548.0,34068.0,44604.0,43798.0,81913.0,82983.0,80636.0,103725.0,SBILIFE.NS,103725.0,0.0
Profit,1154.0,1422.0,1642.0,1790.0,1640.0,1687.0,1906.0,2038.0,SBILIFE.NS,2038.0,0.0
Sales,269693.0,291550.0,301938.0,261068.0,249795.0,278454.0,345967.0,376268.0,TATAMOTORS.NS,376268.0,0.0
Profit,9315.0,11155.0,-31371.0,-10580.0,-10474.0,-7003.0,3058.0,11178.0,TATAMOTORS.NS,11178.0,0.0
Sales,26789.0,27604.0,33883.0,37996.0,34627.0,34923.0,43389.0,47796.0,AXISBANK.NS,47796.0,0.0
Profit,5954.0,566.0,7592.0,5280.0,9750.0,18929.0,18621.0,20930.0,AXISBANK.NS,20930.0,0.0
Sales,24507.0,32862.0,42605.0,54351.0,60592.0,68406.0,82072.0,89463.0,BAJAJFINSV.NS,89463.0,0.0
Profit,4925.0,6099.0,8155.0,8302.0,9862.0,11271.0,16811.0,18343.0,BAJAJFINSV.NS,18343.0,0.0
Sales,3853.0,4696.0,6723.0,9608.0,9519.0,9855.0,12701.0,14016.0,BAJFINANCE.NS,14016.0,0.0
Profit,2817.0,3843.0,6179.0,7322.0,5992.0,9504.0,15528.0,16576.0,BAJFINANCE.NS,16576.0,0.0
Sales,201251.0,235895.0,298226.0,284572.0,230171.0,346791.0,473187.0,465090.0,BPCL.NS,473187.0,1.71
Profit,13700.0,14174.0,12905.0,3652.0,22432.0,16037.0,2821.0,24460.0,BPCL.NS,24460.0,0.0
Sales,14394.0,15156.0,16362.0,17132.0,19160.0,21763.0,22753.0,23707.0,CIPLA.NS,23707.0,0.0
Profit,1222.0,1669.0,2079.0,2178.0,3290.0,3493.0,4038.0,4438.0,CIPLA.NS,4438.0,0.0
Sales,3982.0,4188.0,4462.0,4525.0,4841.0,5100.0,5226.0,5353.0,COLPAL.NS,5353.0,0.0
Profit,851.0,983.0,1143.0,1043.0,1350.0,1409.0,1410.0,1496.0,COLPAL.NS,1496.0,0.0
Sales,14196.0,14281.0,15448.0,17517.0,19048.0,21545.0,24670.0,26195.0,DRREDDY.NS,26195.0,0.0
Profit,1554.0,1350.0,2336.0,1886.0,2884.0,3061.0,6048.0,6430.0,DRREDDY.NS,6430.0,0.0
Sales,778.0,856.0,1060.0,1038.0,1133.0,1876.0,3023.0,2823.0,FINEORG.NS,3023.0,6.62
Profit,121.0,151.0,234.0,216.0,162.0,352.0,841.0,765.0,FINEORG.NS,841.0,9.04
Sales,2908.0,2871.0,3128.0,3224.0,2926.0,3278.0,3252.0,3268.0,GLAXO.NS,3278.0,0.31
Profit,511.0,540.0,683.0,306.0,525.0,2093.0,839.0,857.0,GLAXO.NS,2093.0,59.05
Sales,1917.0,2185.0,2241.0,2197.0,1647.0,2159.0,2384.0,1941.0,JCHAC.NS,2384.0,18.58
Profit,118.0,151.0,132.0,118.0,43.0,23.0,-105.0,-157.0,JCHAC.NS,151.0,203.97
Sales,4427.0,4527.0,4959.0,4861.0,4984.0,5221.0,5698.0,5758.0,OFSS.NS,5758.0,0.0
Profit,1757.0,1840.0,2267.0,2252.0,2477.0,2528.0,2570.0,2598.0,OFSS.NS,2598.0,0.0
Sales,32722.0,33530.0,34656.0,36997.0,50805.0,46823.0,51817.0,56439.0,PNB.NS,56439.0,0.0
Profit,1540.0,-19849.0,-15370.0,827.0,4325.0,4826.0,5151.0,6279.0,PNB.NS,6279.0,0.0
Sales,8594.0,9833.0,12555.0,12868.0,13560.0,15010.0,17852.0,18502.0,SHREECEM.NS,18502.0,0.0
Profit,1531.0,1827.0,1146.0,1934.0,3004.0,2892.0,1495.0,1820.0,SHREECEM.NS,3004.0,39.41
Sales,4385.0,5833.0,7093.0,8485.0,9127.0,10059.0,11346.0,11644.0,SIS.NS,11644.0,0.0
Profit,110.0,187.0,210.0,289.0,483.0,344.0,285.0,295.0,SIS.NS,483.0,38.92
Sales,6780.0,6815.0,7252.0,9637.0,11602.0,12425.0,13783.0,14198.0,TATACONSUM.NS,14198.0,0.0
Profit,662.0,753.0,735.0,809.0,1311.0,1456.0,1794.0,1904.0,TATACONSUM.NS,1904.0,0.0
Sales,3041.0,3624.0,4448.0,5201.0,4881.0,6480.0,7870.0,8162.0,TEAMLEASE.NS,8162.0,0.0
Profit,52.0,73.0,96.0,83.0,89.0,46.0,115.0,113.0,TEAMLEASE.NS,115.0,1.74
Sales,29141.0,30773.0,34742.0,36868.0,37855.0,44646.0,53290.0,53741.0,TECHM.NS,53741.0,0.0
Profit,3853.0,4879.0,5543.0,5058.0,5953.0,7452.0,6446.0,5931.0,TECHM.NS,7452.0,20.41
Sales,764.0,798.0,844.0,1103.0,900.0,1039.0,1188.0,1161.0,SYMPHONY.NS,1188.0,2.27
Profit,235.0,265.0,130.0,230.0,131.0,168.0,152.0,144.0,SYMPHONY.NS,265.0,45.66
Sales,109.0,607.0,725.0,1070.0,1078.0,1039.0,1467.0,1656.0,UJJIVANSFB.NS,1656.0,0.0
Profit,1.0,9.0,199.0,466.0,10.0,-550.0,1467.0,1628.0,UJJIVANSFB.NS,1628.0,0.0
Sales,842.0,420.0,431.0,435.0,457.0,484.0,522.0,477.0,BAJAJHLDNG.NS,842.0,43.35
Profit,630.0,2739.0,3170.0,3314.0,3766.0,4226.0,5012.0,5462.0,BAJAJHLDNG.NS,5462.0,0.0
Sales,6085.0,6621.0,6826.0,6743.0,13954.0,27717.0,28382.0,28560.0,INDUSTOWER.NS,28560.0,0.0
