Symbol,AvgCost,Target,Shares,MedianPE,Nifty100,Criteria,Strategy,InPortfolio,LatestQtr,StarStock,BizCheck,FinCheck,TechCheck,Conviction,Category,Stock
LTIM,4987.59,7000,10,26.6,1,V200,ATH,AR,1,1,1,1,1,M,IT,LTIM.NS
LUPIN,,,,,1,,,NA,1,0,0,,1,M,,LUPIN.NS
LUXIND,1493.72,4200,51,21.4,0,V40N,2T3Y,AR,1,0,1,1,1,M,TEXTILES,LUXIND.NS
M&M,,,,20.5,1,,,NA,1,1,0,,1,H,AUTO,M&M.NS
MARICO,,,,52.7,1,V40,,NA,1,1,0,,1,M,FMCG,MARICO.NS
MARUTI,,,,,1,,,NA,1,1,0,,1,H,AUTO,MARUTI.NS
MCDOWELL-N,,,,74.5,1,V40N,,NA,1,1,0,,0,L,BREWERIES,MCDOWELL-N.NS
MCX,,,,,0,V40N,,NA,1,0,1,,,M,,MCX.NS
METROPOLIS,1365.98,3100,22,51.5,,VR,ATH,AR,1,0,1,1,1,L,HEALTHCARE,METROPOLIS.NS
MOTILALOFS,733,,,19.7,0,V40N,,NA,1,1,0,,0,L,FINANCE,MOTILALOFS.NS
MUTHOOTFIN,1082,,,12.5,1,,,NA,1,1,0,,0,L,FINANCE,MUTHOOTFIN.NS
NAM-INDIA,,,,29.9,0,V40,,NA,1,0,0,,1,L,,NAM-INDIA.NS
NATIONALUM,,,,10.3,0,,,NA,1,0,0,,0,L,METALS,NATIONALUM.NS
NAUKRI,4154,,,78.8,1,,,NA,1,0,0,,1,M,IT,NAUKRI.NS
NESTLEIND,,,,,1,V40,,NA,0,0,0,,1,H,,NESTLEIND.NS
NETWORK18,,,,,1,,,NA,1,0,0,,0,L,,NETWORK18.NS
NIACL,117.07,333,390,23.4,0,VR,ATH,AR,1,0,1,1,1,L,INSURANCE,NIACL.NS
NMDC,122.55,140,265,6.1,0,VR,ATH,AR,1,0,1,1,1,M,MINING,NMDC.NS
NTPC,,,,,1,,,NA,1,1,0,V,,L,,NTPC.NS
OFSS,,,,16.6,0,V40N,,NA,1,1,1,,1,M,IT,OFSS.NS
ONGC,,,,,1,,,NA,1,1,0,V,,L,,ONGC.NS
PAGEIND,38548.77,50000,3,97.7,1,V40,ATH,AR,1,0,1,1,1,H,APPARELS,PAGEIND.NS
PEL,,,,,1,,,NA,1,0,0,,0,L,,PEL.NS
PFIZER,,,,36.5,0,V40,,NA,1,0,0,,0,L,PHARMA,PFIZER.NS
PGHH,,,,,1,V40,,NA,0,0,0,,0,L,,PGHH.NS
PIDILITIND,2504.06,2780,30,94.6,1,V40,ATH,AR,1,1,1,1,1,H,CHEMICALS,PIDILITIND.NS
PIIND,,,,,1,,,NA,1,1,0,,,L,,PIIND.NS
PNB,54.97,150,1400,16.6,1,VR,ATH,AR,1,1,1,1,1,M,BANKS,PNB.NS
POLYCAB,,,,36.1,0,V40N,,NA,1,1,1,,1,M,CABLES,POLYCAB.NS
POWERGRID,,,,,1,,,NA,1,0,0,,,L,,POWERGRID.NS
PVRINOX,,,,51.2,0,,,NA,1,0,0,,1,L,,PVRINOX.NS
RADICO,,,,,0,V40N,,NA,1,0,1,,,M,,RADICO.NS
RAJESHEXPO,555.25,835,130,16.3,0,V40N,ATH,AR,1,1,1,1,1,M,JEWELLERY,RAJESHEXPO.NS
RELAXO,889.14,1340,85,101.9,0,V40N,2T3Y,AR,1,0,1,1,1,M,FOOTWEAR,RELAXO.NS
RELIANCE,2467.15,,31,29.1,1,V40,ATH,NA,1,1,1,1,1,H,REFINERIES,RELIANCE.NS
ROSSARI,844.4,1450,36,53.7,0,VR,2T3Y,AR,1,0,1,1,1,L,CHEMICALS,ROSSARI.NS
SAIL,90.9,130,330,7.9,,VR,ATH,AR,1,0,1,1,1,M,STEEL,SAIL.NS
SANOFI,,,,,0,V40,,NA,0,0,1,,,M,,SANOFI.NS
SBICARD,,,,,1,,,NA,1,1,0,,1,M,,SBICARD.NS
SBILIFE,1284,,,62.1,1,,,NA,1,1,0,,0,L,INSURANCE,SBILIFE.NS
SBIN,569.71,735,164,13.2,1,VR,BTT,AR,1,1,0,1,1,M,BANKS,SBIN.NS
SFL,,,,,0,V40N,,NA,1,0,1,,,M,,SFL.NS
SHREECEM,,,,,1,,,NA,1,0,0,,,L,,SHREECEM.NS
SIEMENS,,,,,1,,,NA,0,0,0,,1,H,,SIEMENS.NS
SIS,,,,,0,V40N,,NA,1,0,1,,,M,,SIS.NS
SRF,2222,2666,14,30.4,,VR,ATH,AR,1,0,1,1,1,M,CHEMICALS,SRF.NS
STARHEALTH,599.5,830,50,59.8,,VR,ATH,AR,1,1,1,1,1,M,INSURANCE,STARHEALTH.NS
SUNPHARMA,,,,,1,,,NA,1,1,0,,1,H,PHARMA,SUNPHARMA.NS
SUNTV,473.49,900,108,12.7,0,V40N,ATH,AR,1,1,1,1,1,M,ENTERTAINMENT,SUNTV.NS
SUZLON,,,,,0,,,NA,1,0,0,,0,L,ELECTRICAL,SUZLON.NS
SYMPHONY,,,,,0,V40N,,NA,1,0,1,,,M,,SYMPHONY.NS
TASTYBITE,,,,,0,,,NA,1,1,1,,,M,,TASTYBITE.NS
TATACONSUM,785.46,,65,68.8,1,SS,ATH,NA,1,1,0,G,1,H,FMCG,TATACONSUM.NS
TATAELXSI,,,,,0,V40N,,NA,1,1,1,,,M,,TATAELXSI.NS
TATAMOTORS,392,,,19.2,1,,,NA,1,1,0,,1,L,AUTO,TATAMOTORS.NS
TATAPOWER,206,,,20.4,0,,,NA,1,1,0,,1,M,ELECTRICAL,TATAPOWER.NS
TATASTEEL,,,,6,1,,,NA,1,0,0,,0,L,METALS,TATASTEEL.NS
TCS,3231,3900,16,28.1,1,V40,ATH,AR,1,1,1,1,1,H,IT,TCS.NS
TEAMLEASE,2279.93,4550,21,56.3,0,V40N,2T3Y,AR,1,1,1,1,1,M,MISC,TEAMLEASE.NS
TECHM,1048,,,18.7,1,,,NA,1,0,0,,0,L,IT,TECHM.NS
TIPSINDLTD,,,,,0,,,NA,1,1,0,,0,L,ENTERTAINMENT,TIPSINDLTD.NS
TITAN,,,,78,1,V40,,NA,1,1,0,,1,H,JEWELLERY,TITAN.NS
TORNTPHARM,,,,,1,,,NA,1,1,0,,,L,,TORNTPHARM.NS
TTKPRESTIG,,,,,0,V40N,,NA,1,0,1,,,M,,TTKPRESTIG.NS
UJJIVAN,,,,,0,,,NA,1,1,1,,,M,,UJJIVAN.NS
UJJIVANSFB,36.9,55,1850,16.8,0,V40N,ATH,AR,1,1,1,1,1,M,BANKS,UJJIVANSFB.NS
ULTRACEMCO,,,,33.7,1,,,NA,1,0,0,,0,L,CEMENT,ULTRACEMCO.NS
UPL,,,,,1,,,NA,1,0,0,,,L,,UPL.NS
VAIBHAVGBL,317.48,875,144,35.4,0,VR,2T3Y,AR,1,0,1,1,1,L,JEWELLERY,VAIBHAVGBL.NS
VALIANTORG,532.61,1550,185,24,0,VR,2T3Y,AR,1,0,1,1,1,L,CHEMICALS,VALIANTORG.NS
VEDL,,,,,1,,,NA,1,0,0,,,L,,VEDL.NS
VGUARD,,,,,0,,,NA,1,0,1,,,M,,VGUARD.NS
VINATIORGA,,,,,0,V40N,,NA,1,1,1,,,M,,VINATIORGA.NS
VIPIND,,,,,0,V40N,,NA,1,0,1,,,M,,VIPIND.NS
VOLTAS,821,,,43.4,0,,,NA,1,0,0,,0,L,,VOLTAS.NS
WHIRLPOOL,,,,72.2,0,V40,,NA,1,0,0,,1,M,,WHIRLPOOL.NS
WIPRO,388.07,666,195,20.9,1,VR,2T3Y,AR,1,1,1,1,1,L,IT,WIPRO.NS
YESBANK,,,,,1,,,NA,1,0,0,,0,L,,YESBANK.NS
ZEEL,,,,24.6,0,,,NA,1,0,0,,0,L,ENTERTAINMENT,ZEEL.NS
DMART,3593.25,5100,7,160.1,1,AR,ATH,SV,1,1,1,1,1,M,FMCG,DMART.NS
HDFCBANK,1576.3,2050,30,22,1,V40,BTT,SV,1,1,0,1,1,H,BANKS,HDFCBANK.NS
IEX,125,,250,47.6,0,VR,ATH,SV,1,1,,,,M,MISC,IEX.NS
KOTAKBANK,1790.1,2270,26,34.4,1,V40,BTT,SV,1,1,0,,1,L,BANKS,KOTAKBANK.NS
LICI,655.05,,38,,1,V200,,SV,1,1,1,,,M,INSURANCE,LICI.NS
RAJESHEXPO,503.71,835,70,16.3,0,V40N,ATH,SV,1,1,1,1,1,M,JEWELLERY,RAJESHEXPO.NS
SBIN,572.95,735,75,13.2,1,VR,BTT,SV,1,1,0,1,1,M,BANKS,SBIN.NS
VALIANTORG,463.37,1550,75,24,0,VR,2T3Y,SV,1,0,1,1,1,L,CHEMICALS,VALIANTORG.NS
