Stock,Quarter,Close,EPS(Q),Sales(Q),EPS(TTM),Sales(TTM),PE(TTM),Prev_EPS(Q),Prev_EPS(TTM),Prev_Sales,Prev_PE,Prev_Close,FR%,SR%,TR%,Sales%,EPS%,Return%
HAVELLS.NS,2021-08-15,1242.15,3.76,2610.0,19.41,11583.0,64.0,4.85,16.669999999999998,3339.0,59.84,997.55,16.44,8.09,24.53,-21.83,-22.47,24.53
HAVELLS.NS,2021-11-15,1372.7,4.83,3238.0,19.03,12362.0,72.13,3.76,19.41,2610.0,64.0,1242.15,-1.96,12.46,10.5,24.06,28.46,10.5
HCLTECH.NS,2020-08-15,709.1,10.8,17842.0,43.330000000000005,72091.0,16.37,,,,,,,,,,,
HCLTECH.NS,2020-11-15,830.5,11.58,18594.0,44.92,73158.0,18.49,10.8,43.330000000000005,17842.0,16.37,709.1,3.67,13.43,17.1,4.21,7.22,17.1
HCLTECH.NS,2021-02-15,960.4,14.63,19302.0,48.7,74325.0,19.72,11.58,44.92,18594.0,18.49,830.5,8.41,7.21,15.620000000000001,3.81,26.34,15.620000000000001
HCLTECH.NS,2021-05-16,910.35,4.06,19641.0,41.07000000000001,75379.0,22.17,14.63,48.7,19302.0,19.72,960.4,-15.67,10.48,-5.1899999999999995,1.76,-72.25,-5.1899999999999995
HCLTECH.NS,2021-08-15,1119.45,11.81,20068.0,42.08,77605.0,26.6,4.06,41.07000000000001,19641.0,22.17,910.35,2.46,20.48,22.94,2.17,190.89,22.94
HCLTECH.NS,2021-11-15,1172.35,12.01,20655.0,42.51,79666.0,27.58,11.81,42.08,20068.0,26.6,1119.45,1.02,3.72,4.74,2.93,1.69,4.74
HDFCBANK.NS,2020-08-15,1034.45,12.62,15608.0,52.02,62768.0,19.89,,,,,,,,,,,
HDFCBANK.NS,2020-11-15,1369.7,14.0,15033.0,53.89,62243.0,25.42,12.62,52.02,15608.0,19.89,1034.45,3.59,28.81,32.4,-3.68,10.94,32.4
HDFCBANK.NS,2021-02-15,1581.95,15.92,14523.0,55.82,60693.0,28.34,14.0,53.89,15033.0,25.42,1369.7,3.58,11.9,15.48,-3.39,13.71,15.48
HDFCBANK.NS,2021-05-16,1386.85,15.3,14083.0,57.839999999999996,59247.0,23.98,15.92,55.82,14523.0,28.34,1581.95,3.62,-15.94,-12.32,-3.03,-3.89,-12.32
HDFCBANK.NS,2021-08-15,1526.2,14.33,14218.0,59.550000000000004,57857.0,25.63,15.3,57.839999999999996,14083.0,23.98,1386.85,2.96,7.08,10.04,0.96,-6.34,10.04
HDFCBANK.NS,2021-11-15,1553.0,16.43,14415.0,61.980000000000004,57239.0,25.06,14.33,59.550000000000004,14218.0,25.63,1526.2,4.08,-2.31,1.77,1.39,14.65,1.77
HDFCLIFE.NS,2020-08-15,587.75,2.23,14582.0,6.54,35370.0,89.87,,,,,,,,,,,
HDFCLIFE.NS,2020-11-15,636.1,1.62,16518.0,6.630000000000001,43148.0,95.94,2.23,6.54,14582.0,89.87,587.75,1.38,6.85,8.23,13.28,-27.35,8.23
HDFCLIFE.NS,2021-02-15,710.95,1.3,21242.0,6.69,52683.0,106.27,1.62,6.630000000000001,16518.0,95.94,636.1,0.9,10.86,11.76,28.6,-19.75,11.76
HDFCLIFE.NS,2021-05-16,670.6,1.58,19186.0,6.73,71528.0,99.64,1.3,6.69,21242.0,106.27,710.95,0.6,-6.28,-5.680000000000001,-9.68,21.54,-5.680000000000001
HDFCLIFE.NS,2021-08-15,670.5,1.33,14786.0,5.83,71732.0,115.01,1.58,6.73,19186.0,99.64,670.6,-13.37,13.36,-0.009999999999999787,-22.93,-15.82,-0.009999999999999787
HDFCLIFE.NS,2021-11-15,720.6,1.36,20548.0,5.57,75762.0,129.37,1.33,5.83,14786.0,115.01,670.5,-4.46,11.93,7.47,38.97,2.26,7.47
HEROMOTOCO.NS,2020-08-15,2803.8,2.96,2969.0,122.41,24038.0,22.9,,,,,,,,,,,
HEROMOTOCO.NS,2020-11-15,3115.7,47.98,9473.0,126.35999999999999,25851.0,24.66,2.96,122.41,2969.0,22.9,2803.8,3.23,7.93,11.16,219.06,1520.95,11.16
