Symbol,AvgCost,Target,Shares,MedianPE,Nifty100,v80,InPortfolio,LatestQtr,StarStock,BizSimple,BizType,BizOutlook,BizDurability,Conviction,Category,Stock
ULTRACEMCO,,,,33.7,1,0,0,1,0,0,,-1,1,L,CEMENT,ULTRACEMCO.NS
UPL,,,,,1,0,0,1,1,0,,,,L,,UPL.NS
VEDL,,,,,1,0,0,1,0,0,,,,L,,VEDL.NS
VGUARD,,,,,0,1,0,0,0,1,,,,M,,VGUARD.NS
VINATIORGA,,,,,0,1,0,0,0,1,,,,M,,VINATIORGA.NS
VIPIND,,,,,0,1,0,1,0,1,,,,M,,VIPIND.NS
VOLTAS,821,,,43.4,0,0,0,1,0,0,,0,1,L,,VOLTAS.NS
WHIRLPOOL,,,,72.2,0,1,0,0,0,0,,1,0,M,,WHIRLPOOL.NS
WIPRO,,,,19,1,0,0,1,0,0,,-1,0,L,IT,WIPRO.NS
YESBANK,,,,,1,0,0,1,0,0,,0,0,L,,YESBANK.NS
ZEEL,,,,24.6,0,0,0,0,0,0,,-1,1,L,ENTERTAINMENT,ZEEL.NS
