Stock,Year,Close,EPS(TTM),PE(TTM),Prev_EPS,Prev_PE,Prev_Close,FR%,SR%,TR%
TCS.NS,2016-05-16,1261.7,61.58,20.49,50.68,24.77,1255.57,21.51,-20.99,0.5200000000000031
TCS.NS,2017-05-16,1182.55,66.71,17.73,61.58,20.49,1261.7,8.33,-14.59,-6.26
TCS.NS,2018-05-16,1741.2,67.46,25.81,66.71,17.73,1182.55,1.12,46.09,47.21
TCS.NS,2019-05-16,2095.4,83.87,24.98,67.46,25.81,1741.2,24.33,-4.0,20.33
TCS.NS,2020-05-16,1892.9,86.19,21.96,83.87,24.98,2095.4,2.77,-12.42,-9.65
TCS.NS,2021-05-16,3051.5,87.67,34.81,86.19,21.96,1892.9,1.72,59.52,61.24
TCS.NS,2021-11-15,3526.05,98.56,35.78,87.67,34.81,3051.5,12.42,3.13,15.55
ITC.NS,2012-05-16,153.9,5.34,28.82,,,,,,
ITC.NS,2013-05-16,228.3,6.42,35.56,5.34,28.82,153.9,20.22,28.12,48.34
ITC.NS,2014-05-16,245.43,7.45,32.94,6.42,35.56,228.3,16.04,-8.55,7.489999999999998
ITC.NS,2015-05-16,217.6,8.04,27.06,7.45,32.94,245.43,7.92,-19.26,-11.340000000000002
ITC.NS,2016-05-16,212.9,7.74,27.51,8.04,27.06,217.6,-3.73,1.6,-2.13
ITC.NS,2017-05-16,277.95,8.47,32.82,7.74,27.51,212.9,9.43,21.13,30.56
ITC.NS,2018-05-16,281.85,9.24,30.5,8.47,32.82,277.95,9.09,-7.71,1.38
ITC.NS,2019-05-16,297.05,10.27,28.92,9.24,30.5,281.85,11.15,-5.76,5.390000000000001
ITC.NS,2020-05-16,164.65,12.45,13.22,10.27,28.92,297.05,21.23,-65.8,-44.56999999999999
ITC.NS,2021-05-16,212.25,10.69,19.86,12.45,13.22,164.65,-14.14,43.11,28.97
ITC.NS,2021-11-15,232.9,11.59,20.09,10.69,19.86,212.25,8.42,1.26,9.68
ULTRACEMCO.NS,2012-05-16,1399.6,87.69,15.96,,,,,,
ULTRACEMCO.NS,2013-05-16,1973.55,97.66,20.21,87.69,15.96,1399.6,11.37,29.66,41.03
ULTRACEMCO.NS,2014-05-16,2230.7,80.44,27.73,97.66,20.21,1973.55,-17.63,30.65,13.02
ULTRACEMCO.NS,2015-05-16,2805.4,76.47,36.69,80.44,27.73,2230.7,-4.94,30.72,25.779999999999998
ULTRACEMCO.NS,2016-05-16,3151.65,90.3,34.9,76.47,36.69,2805.4,18.09,-5.76,12.33
ULTRACEMCO.NS,2017-05-16,4437.7,98.9,44.87,90.3,34.9,3151.65,9.52,31.29,40.81
ULTRACEMCO.NS,2018-05-16,4109.3,80.92,50.78,98.9,44.87,4437.7,-18.18,10.78,-7.4
ULTRACEMCO.NS,2019-05-16,4342.35,87.51,49.62,80.92,50.78,4109.3,8.14,-2.47,5.67
ULTRACEMCO.NS,2020-05-16,3583.15,199.4,17.97,87.51,49.62,4342.35,127.86,-145.34,-17.480000000000004
ULTRACEMCO.NS,2021-05-16,6368.1,189.26,33.65,199.4,17.97,3583.15,-5.09,82.82,77.72999999999999
ULTRACEMCO.NS,2021-11-15,8080.75,220.88,36.58,189.26,33.65,6368.1,16.71,10.16,26.87
HINDUNILVR.NS,2012-05-16,432.45,12.91,33.5,,,,,,
HINDUNILVR.NS,2013-05-16,585.5,17.71,33.06,12.91,33.5,432.45,37.18,-1.8,35.38
HINDUNILVR.NS,2014-05-16,588.95,18.24,32.29,17.71,33.06,585.5,2.99,-2.4,0.5900000000000003
HINDUNILVR.NS,2015-05-16,844.8,20.17,41.88,18.24,32.29,588.95,10.58,32.84,43.42
HINDUNILVR.NS,2016-05-16,831.8,19.18,43.37,20.17,41.88,844.8,-4.91,3.38,-1.5300000000000002
HINDUNILVR.NS,2017-05-16,983.25,20.68,47.55,19.18,43.37,831.8,7.82,10.39,18.21
HINDUNILVR.NS,2018-05-16,1515.5,24.09,62.91,20.68,47.55,983.25,16.49,37.63,54.120000000000005
HINDUNILVR.NS,2019-05-16,1671.05,27.97,59.74,24.09,62.91,1515.5,16.11,-5.85,10.26
HINDUNILVR.NS,2020-05-16,2032.1,31.17,65.19,27.97,59.74,1671.05,11.44,10.17,21.61
HINDUNILVR.NS,2021-05-16,2376.85,34.03,69.85,31.17,65.19,2032.1,9.18,7.8,16.98
HINDUNILVR.NS,2021-11-15,2404.95,35.74,67.29,34.03,69.85,2376.85,5.02,-3.85,1.1699999999999995
ONGC.NS,2012-05-16,166.13,21.93,7.58,,,,,,
ONGC.NS,2013-05-16,223.37,18.87,11.84,21.93,7.58,166.13,-13.95,48.39,34.44
