Date, Market Mood Index, Nifty Index
15/09/2017,46.266947986522,10085.4
14/09/2017,48.1771238914034,10086.6
13/09/2017,51.2279713296724,10079.3
12/09/2017,51.3537111516681,10093.05
11/09/2017,39.3058567071876,10006.05
08/09/2017,35.4656446301177,9934.8
07/09/2017,39.0033197648804,9929.9
06/09/2017,40.2406531040447,9916.2
05/09/2017,34.4360673486204,9952.2
04/09/2017,37.8285677465159,9912.85
01/09/2017,41.2831101014767,9974.4
31/08/2017,39.1585494626561,9917.9
30/08/2017,30.2966106227752,9884.4
29/08/2017,29.6291542285715,9796.05
28/08/2017,38.2311923931331,9912.8
24/08/2017,32.8862171198442,9857.05
23/08/2017,22.5004728522456,9852.5
22/08/2017,15.0644423589336,9765.55
21/08/2017,15,9754.35
18/08/2017,15.2882717177207,9837.4
17/08/2017,17.9519939967099,9904.15
16/08/2017,23.5128664909148,9897.3
14/08/2017,22.1310498640652,9794.15
11/08/2017,18.1235315077702,9710.8
10/08/2017,25.8222680686803,9820.25
09/08/2017,36.0540522209187,9908.05
08/08/2017,43.5730124530654,9978.55
07/08/2017,49.2345444145224,10057.4
04/08/2017,45.1175130276674,10066.4
03/08/2017,38.4618373068445,10013.65
02/08/2017,44.2147194666285,10081.5
01/08/2017,47.1563922425099,10114.65
31/07/2017,43.8723001142101,10077.1
28/07/2017,43.0741505438078,10014.5
27/07/2017,47.5735268491956,10020.55
26/07/2017,52.805963370837,10020.65
25/07/2017,49.5609217334899,9964.55
24/07/2017,50.0113524460363,9966.4
21/07/2017,50.3685116434785,9915.25
20/07/2017,51.8868671140513,9873.3
19/07/2017,45.1755410293664,9899.6
18/07/2017,38.6815658781667,9827.15
17/07/2017,45.42091559697,9915.95
14/07/2017,48.9922062663054,9886.35
13/07/2017,49.7855465208792,9891.7
12/07/2017,48.6016213202982,9816.1
11/07/2017,51.8974317278605,9786.05
10/07/2017,55.7062286093168,9771.05
07/07/2017,57.1021128086356,9665.8
06/07/2017,58.8723011967765,9674.55
05/07/2017,49.2428267104379,9637.6
04/07/2017,41.3425655815563,9613.3
03/07/2017,37.9484667611102,9615
30/06/2017,36.8470422077754,9520.9
29/06/2017,35.888472015469,9504.1
28/06/2017,34.5006752837527,9491.25
27/06/2017,43.0359773180702,9511.4
23/06/2017,50.1756677819416,9574.95
22/06/2017,57.0724730511624,9630
21/06/2017,63.2308943244213,9633.6
20/06/2017,59.8030767296808,9653.5
19/06/2017,52.8070025023984,9657.55
16/06/2017,54.2424805605154,9588.05
15/06/2017,59.8644116436058,9578.05
14/06/2017,59.5070814946985,9618.15
13/06/2017,54.2979933242096,9606.9
12/06/2017,56.9067935273688,9616.4
09/06/2017,56.1763801002037,9668.25
08/06/2017,58.3355642875066,9647.25
07/06/2017,59.6373990393023,9663.9
06/06/2017,54.1288904825944,9637.15
05/06/2017,60.7216744985473,9675.1
02/06/2017,60.5845369096152,9653.5
01/06/2017,46.7613687249839,9616.1
31/05/2017,38.510542350313,9621.25
30/05/2017,31.687933550885,9624.55
29/05/2017,30.8940103428463,9604.9
26/05/2017,33.4744568323152,9595.1
25/05/2017,22.3206606004046,9509.75
24/05/2017,15,9360.55
23/05/2017,16.3889773929232,9386.15
22/05/2017,26.8877573929231,9438.25
19/05/2017,31.9093256931655,9427.9
18/05/2017,37.5844711199358,9429.45
17/05/2017,48.8759992200102,9525.75
16/05/2017,44.4864476090316,9512.25
15/05/2017,37.4792606067065,9445.4
12/05/2017,39.8868284570367,9400.9
11/05/2017,48.8795888296893,9422.4
10/05/2017,53.1564366534238,9407.3
09/05/2017,51.4889698816583,9316.85
08/05/2017,41.3759177530434,9314.05
05/05/2017,44.8487137097462,9285.3
04/05/2017,53.4398426784563,9359.9
03/05/2017,49.3193398460883,9311.95
02/05/2017,53.5427807379086,9313.8
28/04/2017,54.9897382984429,9304.05
27/04/2017,49.9242320815923,9342.15
26/04/2017,53.3256613026145,9351.85
25/04/2017,57.7779724186877,9306.6
24/04/2017,51.9188717062064,9217.95
21/04/2017,48.1313885456372,9119.4
20/04/2017,47.572827951942,9136.4
19/04/2017,40.0139138536963,9103.5
18/04/2017,42.1785208691852,9105.15
17/04/2017,51.1004554268143,9139.3
13/04/2017,54.531026978821,9150.8
12/04/2017,61.2827494423449,9203.45
11/04/2017,64.7523061431066,9237
10/04/2017,57.1384685120542,9181.45
07/04/2017,58.6307125939521,9198.3
06/04/2017,71.7195132961934,9261.95
05/04/2017,69.2959260904026,9265.15
03/04/2017,58.3213559711521,9237.85
31/03/2017,58.5525446339463,9173.75
30/03/2017,67.5832040828729,9173.75
29/03/2017,68.0494091532386,9143.8
28/03/2017,64.8041378946665,9100.8
27/03/2017,69.0741249677054,9045.2
24/03/2017,74.2551806746959,9108
23/03/2017,69.6370641355636,9086.3
22/03/2017,70.9932532419519,9030.45
21/03/2017,75.370008446537,9121.5
20/03/2017,78.5607342454786,9126.85
17/03/2017,46.0691517293284,9160.05
16/03/2017,85,9153.7
15/03/2017,79.0612685810258,9084.8
14/03/2017,67.7723332330526,9087
10/03/2017,61.0713258765475,8934.55
09/03/2017,59.0011336865793,8927
08/03/2017,62.8714770348065,8924.3
07/03/2017,73.8323369009272,8946.9
06/03/2017,78.9019576729183,8963.45
03/03/2017,70.0880361011052,8897.55
02/03/2017,65.5026578563841,8899.75
01/03/2017,67.8090541367361,8945.8
28/02/2017,65.4726973143517,8879.6
27/02/2017,65.5499180598519,8896.7
23/02/2017,67.1499829260097,8939.5
22/02/2017,67.8367917575217,8926.9
21/02/2017,70.5421731290371,8907.85
20/02/2017,71.8159418571484,8879.2
17/02/2017,68.1506250373041,8821.7
16/02/2017,63.4371305406139,8778
15/02/2017,66.2281627637389,8724.7
14/02/2017,69.3261067913801,8792.3
13/02/2017,67.4798730897646,8805.05
10/02/2017,71.361855896669,8793.55
09/02/2017,77.9623603080321,8778.4
08/02/2017,76.1186469045265,8769.05
07/02/2017,76.1436297678489,8768.3
06/02/2017,79.0229391436247,8801.05
03/02/2017,81.0212133768141,8740.95
02/02/2017,83.3649942795535,8734.25
01/02/2017,74.1187422553642,8716.4
31/01/2017,71.3278079851171,8561.3
30/01/2017,75.0262678384036,8632.75
27/01/2017,76.3835291730245,8641.25
25/01/2017,78.3787490847768,8602.75
24/01/2017,74.4741447999197,8475.8
23/01/2017,70.8772006566379,8391.5
20/01/2017,73.7377755181138,8349.35
19/01/2017,77.6783085117918,8435.1
18/01/2017,73.5214501663505,8417
17/01/2017,73.4263350995124,8398
16/01/2017,72.7841235743112,8412.8
13/01/2017,75.4801526130333,8400.35
12/01/2017,82.7955102275681,8407.2
11/01/2017,78.4274319341558,8380.65
10/01/2017,75.7412960698875,8288.6
09/01/2017,74.6581781308987,8236.05
06/01/2017,73.6087128546093,8243.8
05/01/2017,68.8697498078368,8273.8
04/01/2017,59.46197477702,8190.5
03/01/2017,54.882117644482,8192.25
02/01/2017,50.2734934180503,8179.5
30/12/2016,47.217531306289,8185.8
29/12/2016,42.8403570161594,8103.6
28/12/2016,43.5283166347893,8034.85
27/12/2016,39.3221596296191,8032.85
26/12/2016,33.9551138107912,7908.25
23/12/2016,38.6112720014855,7985.75
22/12/2016,48.1609386301314,7979.1
21/12/2016,50.3358476750183,8061.3
20/12/2016,49.6435282649331,8082.4
19/12/2016,52.045713280056,8104.35
16/12/2016,46.2666125901899,8139.45
15/12/2016,42.3552281169332,8153.6
14/12/2016,45.0646821150265,8182.45
13/12/2016,46.2096272966354,8221.8
12/12/2016,50.8298383133854,8170.8
09/12/2016,50.3729127845538,8261.75
08/12/2016,39.2233967560931,8246.85
07/12/2016,39.7614246194807,8102.05
06/12/2016,41.0358632701333,8143.15
05/12/2016,31.731281149727,8128.75
02/12/2016,31.3147123870289,8086.8
01/12/2016,34.3945046980499,8192.9
30/11/2016,29.9250611040203,8224.5
29/11/2016,26.3486374124604,8142.15
28/11/2016,26.2137636119182,8126.9
25/11/2016,21.9859935727654,8114.3
24/11/2016,15.7570947382927,7965.5
23/11/2016,15.7570947382927,8033.3
22/11/2016,15,8002.3
21/11/2016,19.0630660016256,7929.1
18/11/2016,23.0756309409869,8074.1
17/11/2016,19.0125649393614,8079.95
16/11/2016,18.6800176973166,8111.6
15/11/2016,18.6800176973166,8108.45
11/11/2016,21.7107584677671,8296.3
10/11/2016,21.7107584677671,8525.75
09/11/2016,18.7128620141918,8432
08/11/2016,19.628828638846,8543.55
07/11/2016,15.9159666246541,8497.05
04/11/2016,16.7303721371227,8433.75
03/11/2016,16.7303721371227,8484.95
02/11/2016,20.085593743894,8514
01/11/2016,28.6653893038397,8626.25
30/10/2016,31.467050228719,8625.7
28/10/2016,31.6032856974452,8638
27/10/2016,28.8857662692341,8615.25
26/10/2016,30.6761790733254,8615.25
25/10/2016,33.2185799543117,8691.3
24/10/2016,32.400220874183,8708.95
21/10/2016,37.2834168440618,8693.05
20/10/2016,35.9097245395495,8699.4
19/10/2016,38.412920040417,8659.1
18/10/2016,38.8467437541384,8677.9
17/10/2016,32.3335861285399,8520.4
14/10/2016,28.4648845052622,8583.4
13/10/2016,31.6367059619391,8573.35
10/10/2016,38.1889509338447,8708.8
07/10/2016,34.9236627458089,8697.6
06/10/2016,38.9622177080043,8709.55
05/10/2016,45.8422003746422,8743.95
04/10/2016,39.3581327576019,8769.15
03/10/2016,30.0929083739893,8738.1
30/09/2016,21.1066615183629,8611.15
29/09/2016,35.0868775987744,8591.25
28/09/2016,44.6786872580935,8745.15
27/09/2016,30.2861277701432,8706.4
26/09/2016,32.4957643740463,8723.05
23/09/2016,48.8240189424655,8831.55
22/09/2016,47.2087623217969,8867.45
21/09/2016,36.1316423851868,8777.15
20/09/2016,40.4185655703861,8775.9
